Parent Record Key,Parent URL,Parent Device Name,Reporting Key,Child Name,Child Key,Child Key URL,isReportingKey
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #347","JmZWq3HQxHkjjrLP6RwmaY","https://gosqas.org/history/JmZWq3HQxHkjjrLP6RwmaY","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #348","GzB2nEturiCYo3dNuJQwWa","https://gosqas.org/history/GzB2nEturiCYo3dNuJQwWa","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #349","RAAycB7GE71dVz9Aat1ezo","https://gosqas.org/history/RAAycB7GE71dVz9Aat1ezo","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #350","Ww17n2tuvxtbfcNmcBHExx","https://gosqas.org/history/Ww17n2tuvxtbfcNmcBHExx","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #351","PyDovVQmqNmzHC4oCmcNkW","https://gosqas.org/history/PyDovVQmqNmzHC4oCmcNkW","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #352","GUxf4S3BtGwKxJfLfzL6qz","https://gosqas.org/history/GUxf4S3BtGwKxJfLfzL6qz","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #353","96r4cVWshjFziewdZujkj1","https://gosqas.org/history/96r4cVWshjFziewdZujkj1","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #354","CCs5oHcN5MR9W9Sfkr8dav","https://gosqas.org/history/CCs5oHcN5MR9W9Sfkr8dav","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #355","V7g7vT4a6Prj67exvnmQKa","https://gosqas.org/history/V7g7vT4a6Prj67exvnmQKa","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #356","MKdzcmduGAR3AKcvaZvV8J","https://gosqas.org/history/MKdzcmduGAR3AKcvaZvV8J","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #357","XnmTe5VR9fkrUhrNgB75qT","https://gosqas.org/history/XnmTe5VR9fkrUhrNgB75qT","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #358","KhwqhN8gwm8evJVZ5yU1Tz","https://gosqas.org/history/KhwqhN8gwm8evJVZ5yU1Tz","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #359","XgpTiamoutobzjw3Bp8QEw","https://gosqas.org/history/XgpTiamoutobzjw3Bp8QEw","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #360","8VfrKJnuLiTqpEc6jxs6pQ","https://gosqas.org/history/8VfrKJnuLiTqpEc6jxs6pQ","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #361","TRx1ks7bGWBggBP7ujpCVw","https://gosqas.org/history/TRx1ks7bGWBggBP7ujpCVw","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #362","AbP1fcP5ETDEK6H3puGEPd","https://gosqas.org/history/AbP1fcP5ETDEK6H3puGEPd","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #363","6f9rstB2Jnn3ZsCeHGawRf","https://gosqas.org/history/6f9rstB2Jnn3ZsCeHGawRf","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #364","WA6c3Av9moFhM7iD7exv5n","https://gosqas.org/history/WA6c3Av9moFhM7iD7exv5n","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #365","2jsmpyBLpLT7Ee5YJxyLjC","https://gosqas.org/history/2jsmpyBLpLT7Ee5YJxyLjC","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #366","5gjGPYqyo7jd9LM9RkafQk","https://gosqas.org/history/5gjGPYqyo7jd9LM9RkafQk","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #367","UbLDTMAZ5sCpVXBMD5nYb1","https://gosqas.org/history/UbLDTMAZ5sCpVXBMD5nYb1","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #368","KrBxSt1PqU74o7wTDxr4SD","https://gosqas.org/history/KrBxSt1PqU74o7wTDxr4SD","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #369","P6rfEEm8zRoAAiYBmTgGUh","https://gosqas.org/history/P6rfEEm8zRoAAiYBmTgGUh","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #370","V5VnnWQfDpAEysyPkP99hX","https://gosqas.org/history/V5VnnWQfDpAEysyPkP99hX","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #371","JMHehQNt3rZPmigbWe7wmr","https://gosqas.org/history/JMHehQNt3rZPmigbWe7wmr","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #372","Gc7jbniiBBzAFBmpdJKDL5","https://gosqas.org/history/Gc7jbniiBBzAFBmpdJKDL5","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #373","M77vQDKjhfRMqBu127DhXn","https://gosqas.org/history/M77vQDKjhfRMqBu127DhXn","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #374","7iyHaWZ3njxLZonADQeJ7g","https://gosqas.org/history/7iyHaWZ3njxLZonADQeJ7g","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #375","Qr9hwLGMfkVWJvnwJUXxyq","https://gosqas.org/history/Qr9hwLGMfkVWJvnwJUXxyq","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #376","Day4oppMcbGgU2xqcN3rXj","https://gosqas.org/history/Day4oppMcbGgU2xqcN3rXj","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #377","FW5fUihnoYSQTqNPUhqyLJ","https://gosqas.org/history/FW5fUihnoYSQTqNPUhqyLJ","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #378","Mw9yLrr7L9RtuSWY6Gpcx7","https://gosqas.org/history/Mw9yLrr7L9RtuSWY6Gpcx7","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #379","RLUWoLT9JTibkT7Qqx5mMR","https://gosqas.org/history/RLUWoLT9JTibkT7Qqx5mMR","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #380","C7Wz9cfYnKJJ6ag1ozr5sb","https://gosqas.org/history/C7Wz9cfYnKJJ6ag1ozr5sb","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #381","M1p37SmruQL6vihpVgKHaR","https://gosqas.org/history/M1p37SmruQL6vihpVgKHaR","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #382","EtrPcL1X8ky4jGFcPRaqJD","https://gosqas.org/history/EtrPcL1X8ky4jGFcPRaqJD","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #383","Uh84SQD2YPYhHpWeibgPXb","https://gosqas.org/history/Uh84SQD2YPYhHpWeibgPXb","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #384","KMwGPuFEevWLChuKh5eqGk","https://gosqas.org/history/KMwGPuFEevWLChuKh5eqGk","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #385","LLby5mkLqKU3QABYjGyH1g","https://gosqas.org/history/LLby5mkLqKU3QABYjGyH1g","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #386","FgZVg6X1SegHqJn5QzH1D1","https://gosqas.org/history/FgZVg6X1SegHqJn5QzH1D1","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #387","4CLDNKxV2hnhqiDHHd5rAW","https://gosqas.org/history/4CLDNKxV2hnhqiDHHd5rAW","F"
